Index,Product_M2M,PartNum_Comp,PartNumber_BOM_BOM,Match,Component,Component_Description,End of Prod,Status,Life__Years,EOSL,flag_raise_in_gp,Remark,MCCB or MCSW,Input CB,AMP Trip,kAIC @ Voltage,"Rated, Trip",kVA,MFR,drop,date_greater_than,change_component_to,change_status_to,change_life_years_to,change_eosl_to
1,PDU,:PDU,,contains,PDU,,,Active,40,,TRUE,,,,,,,,,,,,,,
1,RPP,:RPP,,contains,RPP,,,Active,30,,TRUE,,,,,,,,,,,,,,
1,STS,:STS,,contains,STS,,,Active,30,,TRUE,,,,,,,,,,,,,,
2,,MOD09243:8212 Display,MOD09243,contains,8212 Display,PCB08212,,,,2022,TRUE,,,,,,,,,,,,,,
2,,MOD56134:8212 Display,MOD56134,contains,8212 Display,PCB08212,,,,2022,TRUE,,,,,,,,,,,,,,
2,,PCB08212:8212 Display,PCB08212,contains,Monochrome Display,,,,,2022,TRUE,,,,,,,,,,1/1/2015,8212 Display,,,
2,,98-10500-084:Color Display,98-10500-084,contains,Color Display,,,Active,10,,TRUE,,,,,,,,,,,,,,
2,,98-11000-039:Color Display,98-11000-039,contains,Color Display,,,Active,10,,TRUE,,,,,,,,,,,,,,
2,,98-90596-05:Color Display,98-90596-05,contains,Color Display,,,Active,10,,TRUE,,,,,,,,,,,,,,
2,,98-90639-10:Color Display,98-90639-10,contains,Color Display,,,Active,10,,TRUE,,,,,,,,,,,,,,
2,,98-90645-10:Color Display,98-90645-10,contains,Color Display,,,Active,10,,TRUE,,,,,,,,,,,,,,
2,,98-90645-20:Color Display,98-90645-20,contains,Color Display,,,Active,10,,TRUE,,,,,,,,,,,,,,
2,,CRPP-032083-R0001:Color Display,CRPP-032083-R0001,contains,Color Display,,,Active,10,,TRUE,,,,,,,,,,,,,,
2,,MCRPP-012082-R0001:Color Display,MCRPP-012082-R0001,contains,Color Display,,,Active,10,,TRUE,,,,,,,,,,,,,,
2,,MOD16024:Color Display,MOD16024,contains,Color Display,PCA16209,,Active,10,,TRUE,,,,,,,,,,,,,,
2,,MOD16025:Color Display,MOD16025,contains,Color Display,PCA16209,,Active,10,,TRUE,,,,,,,,,,,,,,
2,,MOD17455:Color Display,MOD17455,contains,Color Display,PCA16209,,Active,10,,TRUE,,,,,,,,,,,,,,
2,,MOD17517:Color Display,MOD17517,contains,Color Display,PCA16209,,Active,10,,TRUE,,,,,,,,,,,,,,
2,,MOD17517-GE:Color Display,MOD17517-GE,contains,Color Display,PCA16209,,Active,10,,TRUE,,,,,,,,,,,,,,
2,,MOD17594:Color Display,MOD17594,contains,Color Display,,,Active,10,,TRUE,,,,,,,,,,,,,,
2,,MOD17641:Color Display,MOD17641,contains,Color Display,PCA16209,,Active,10,,TRUE,,,,,,,,,,,,,,
2,,MOD17644:Color Display,MOD17644,contains,Color Display,,,Active,10,,TRUE,,,,,,,,,,,,,,
