PartNumber_TLN_BOM,Ratings
IND-1006532500-11-GY05,2500
IND-1007030800-00-GY05,800
14000037,150
14000025,250
14200007,250
14017300,600
14300004,600
14400069,800
14400081,800
13407740,020A3P
13407160,030A1P
13408183,030A2P
13407120,030A3P
13407140,030A3P
13407480,030A3P
13407510,030A3P
13408720,030A3P
13409310,030A3P
13502660,030A3P
13408261,032A1P
13407270,060A3P
13408640,060A3P
12100150,225
12000168,225
12000170,225
250A BUS RUN - LH        ,250A BUS RUN        
250A BUS RUN - RH        ,250A BUS RUN        
11800041,400
400A BUS RUN - LH        ,400A BUS RUN        
400A BUS RUN - RH        ,400A BUS RUN        
600A BUS RUN AL - LH     ,600A BUS RUN AL     
600A BUS RUN AL - RH     ,600A BUS RUN AL     
PCB11734                 ,"BCMS PLUS LV/HV,PCB                "
CHS66488-BK00            ,OTHER
Factory Witness Testing  ,OTHER
FLP12254                 ,OTHER
GST/HST                  ,OTHER
MOD68989-BK00            ,OTHER
MOD70107-H36             ,OTHER
MOD70108-H20             ,OTHER
MOD70108-H36             ,OTHER
Warranty - TOB           ,OTHER
15200001,RPP V2
15200002,RPP V2
Floorskirt               ,OTHER
FREIGHT                  ,OTHER
Freight Included         ,OTHER
Freight Not Included     ,OTHER
MOD16134                 ,OTHER
MOD66122-WH04            ,OTHER
MOD66971-WH04            ,OTHER
MOD69661-WH00            ,OTHER
MOD70012-BK00            ,OTHER
MOD70101-H36             ,OTHER
MOD70102-H36             ,OTHER
MOD70104-H40             ,OTHER
MOD70875-WH00            ,OTHER
M-25613SE                ,9.5
8-120-001572-001         ,15
11900003,30
11000177,50
11000178,50
11000184,50
11000202,50
11000203,50
11000209,50
11000216,50
11000220,50
11000226,50
M-26062S                 ,52.8
11000166,75
11000173,75
11000176,75
11000182,75
11000183,75
11000193,75
11000198,75
11000199,75
11000200,75
11000204,75
11000205,75
11000206,75
11000222,75
11000223,75
11100132,75
11100158,75
C5K4-007557-02           ,75
11000067,
8-220-008047-00          ,80
11000167,100
11000179,100
11000188,100
11000189,100
11000190,100
11000201,100
11000210,100
11100126,100
11100141,100
11100149,100
11100179,100
11100180,100
11100186,100
C6K99-010074-00          ,100
C6K99-010074-01          ,100
11000152,125
11000153,125
11000172,125
11000192,125
11000221,125
11017006,125
11100139,125
11100159,125
11000054,150
11000154,150
11000157,150
11000163,150
11000164,150
11000165,150
11000174,150
11000175,150
11000181,150
11000191,150
11000215,150
11000219,150
11000225,150
11000240,150
11100114,150
11100124,150
11100130,150
11100131,150
11100140,150
11100144,150
11100147,150
11100150,150
11100151,150
11100152,150
11100153,150
11100154,150
11100155,150
11100160,150
11100161,150
11100163,150
11100164,150
11100178,150
11100181,150
11100208,150
11600007,150
11700023,150
14000055,150
14000056,150
14000058,150
8-120-015032-01          ,150
C6K99-017074-00          ,170
8-1027930180-00          ,180
11000160,200
11000161,200
11000187,200
11000213,200
11000214,200
12200012,200
11000151,225
11000169,225
11000185,225
11000194,225
11000195,225
11000196,225
11000207,225
11000228,225
11000249,225
11100067,225
11100110,225
11100111,225
11100113,225
11100116,225
11100120,225
11100123,225
11100125,225
11100129,225
11100156,225
11100157,225
11100172,225
11100176,225
12000085,225
12000090,225
12000100,225
12000101,225
12000103,225
12000104,225
12000106,225
12000107,225
12000113,225
12000117,225
12000120,225
12000121,225
12000125,225
12000128,225
12000129,225
12000140,225
12000142,225
12000144,225
12000145,225
12000146,225
12000148,225
12000150,225
12017005,225
12017029,225
12017035,225
12017036,225
12100008,225
12100016,225
12100022,225
12100023,225
12100024,225
12100025,225
12100026,225
12100029,225
12100031,225
12100033,225
12100146,225
12117017,225
12200009,225
12200019,225
12200034,225
12200036,225
12200037,225
12200040,225
12200046,225
12200049,225
12200054,225
12200056,225
12200060,225
12200061,225
12200063,225
12200064,225
12200065,225
12200072,225
12217025,225
12217026,225
12300016,225
12300017,225
12500003,225
12600009,225
12600010,225
12600013,225
8-220-022574-01          ,225
98-10500-090             ,225
98-11200-004             ,225
12200067,
12600019,
12100145,
12000163,
12000164,
12000154,
12000160,
12000157,
12000152,
12000118,250
12000130,250
12000147,250
13100013,250
13100019,250
13100101,250
13100102,250
13100224,250
13100601,250
13100602,250
13100807,250
13100920,250
13100921,250
14000026,250
14000027,250
14000028,250
14000045,250
14000046,250
14000047,250
14000048,250
14000050,250
14000059,250
14017006,250
14017007,250
14017028,250
14100009,250
14100011,250
14300005,250
14400060,250
14400070,250
98-11000-043             ,250
C6K99-025074-00          ,250
12000165,
14200011,
14400098,
14400030,
14400093,
8-209-027542-00          ,275
11000171,288
11000211,288
11000212,288
11000217,288
11000218,288
11017003,288
11017004,288
11000150,300
11000155,300
11000156,300
11000158,300
11000159,300
11000162,300
11000168,300
11000186,300
11000234,300
11000236,300
11100112,300
11100117,300
11100118,300
11100119,300
11100121,300
11100122,300
11100127,300
11100128,300
11100133,300
11100134,300
11100135,300
11100136,300
11100137,300
11100145,300
11100165,300
11100166,300
11100167,300
11100168,300
11100169,300
11100170,300
11100171,300
11100173,300
11100177,300
11100182,300
11100184,300
11100185,300
11100194,300
11100195,300
11100198,300
11100202,300
11100210,300
11100211,300
11700008,300
11700021,300
11800014,300
11800016,300
11800028,300
11800032,300
8-120-030072-0116        ,300
C5K4-030047-02           ,300
C5K4-030057-01           ,300
11700016,
11800022,350
11100146,375
11100148,375
11800023,375
98-90596-11C             ,375
11100115,400
11100142,400
11100143,400
11300152,400
11300155,400
11700022,400
11800013,400
11800019,400
11800029,400
11800030,400
11800033,400
12000105,400
12000111,400
12000114,400
12000122,400
12000123,400
12000133,400
12000135,400
12000136,400
12000137,400
12000139,400
12017045,400
12100027,400
12100028,400
12100032,400
12117019,400
12200011,400
12200033,400
12200035,400
12200041,400
12200042,400
12200047,400
12200050,400
12200058,400
12200062,400
12200066,400
12217005,400
12217007,400
12600005,400
12617003,400
12700004,400
12700005,400
12700007,400
12700010,400
12700012,400
12700013,400
13100006,400
13100085,400
13100086,400
13100109,400
13100110,400
13100315,400
13100504,400
13100541,400
13100542,400
13100752,400
13100753,400
13100782,400
13100788,400
13100789,400
13100790,400
13100791,400
13100792,400
13100793,400
13100848,400
14000029,400
14000030,400
14000031,400
14000035,400
14000039,400
14000040,400
14000044,400
14000052,400
14000057,400
14017022,400
14017031,400
14100008,400
14400058,400
14400071,400
98-11200-011             ,400
12600015,
12600017,
14100002,
14100012,
14400035,
14000009,
14017023,
11300002,500
11300059,500
11300060,500
11300061,500
11300107,500
11300126,500
11300127,500
11300128,500
11300129,500
11300130,500
11300133,500
11300134,500
11300136,500
11300137,500
11300138,500
11300141,500
11300142,500
11300143,500
11300144,500
11300150,500
11300156,500
11300160,500
11300176,500
11300177,500
11300178,500
11300179,500
11300180,500
11300181,500
11300185,500
11300186,500
11300193,500
11300207,500
11300208,500
11800011,500
11800015,500
11800017,500
11800018,500
11800020,500
11800024,500
11800025,500
11800031,500
11800034,500
98-90596-18B             ,500
98-90596-18G             ,500
98-90596-18R             ,500
OPA-65058-02             ,576
OPA-65058-04             ,576
11300070,600
11800026,600
11800027,600
11900007,600
13100396,600
13100437,600
13100493,600
13100726,600
13100727,600
13100817,600
13100818,600
14000017,600
14000036,600
14000038,600
14000041,600
14000042,600
14000043,600
14000053,600
14000061,600
14200003,600
14200009,600
14217002,600
14400051,600
14400063,600
14400067,600
14400068,600
14400073,600
14400074,600
14400082,600
14400084,600
14400085,600
14400089,600
14200010,
14017003,
11300030,625
11300125,625
11300162,625
11300163,625
11300164,625
11300175,625
98-90596-12B             ,625
98-90596-12G             ,625
98-90596-12R             ,625
11300015,750
11300139,750
11300140,750
11300146,750
11300183,750
11300192,750
11300195,750
11300199,750
11300203,750
11300204,750
8-209-075047-01,
12000124,800
13100849,800
13100850,800
14017034,800
14200008,800
14217001,800
14400016,800
14400053,800
14400057,800
14400065,800
14400066,800
14400075,800
14400080,800
800A BUS RUN - LH,
800A BUS RUN - RH,
14400097,
14400017,
11300194,900
11300165,1000
13100816,1000
14400004,1000
14400015,1000
14400050,1000
14400052,1000
14400088,
11300145,1060
14400037,1200
14400054,1200
14400056,1200
14400072,1200
14400083,1200
14400087,1200
IND-1007031200-00-gy05,1200
14400094,
C6K1-150074-01           ,1500
C6K4-150074-00           ,1500
14400076,1600
IND-1005532000-00-GY05   ,2000
IND-1005532000-01-GY05   ,2000
IND-1005532000-01-GY06   ,2000
IND-1005532000-11-GY05   ,2000
IND-1006732500-00-GY05   ,2000
IND-1004532500-00        ,2500
IND-1004532500-11-GY05   ,2500
IND-1004534000-00-GY05   ,4000
12200010,400
IND-1001735000-00-GY05,5000
8-96225-61               ,.096MH
M-25378                  ,0.0125MH
M-25062                  ,0.0207MH
M-25397                  ,0.05743MH
11000252,
11000255,
11000237,
11000238,
11000251,
11000256,
11100244,
11000253,
11100187,
11100203,
11100243,
11100225,
11000230,
11000248,
11100174,
11100183,
11100221,
11000244,
11100175,
11100199,
11100200,
11100197,
11100192,
11100217,
13402291,015A1P
13402292,015A1P
13402293,015A1P
13408941,015A1P
13408942,015A1P
13408943,015A1P
13403171,015A2P
13507311,015A2P
13407380,015A3P
13408610,015A3P
13408761,016A1P
13408762,016A1P
13408763,016A1P
13409560,
13407500,016A3P
13407790,016A3P
13407970,016A3P
11000243,
13402241,020A1P
13402242,020A1P
13402243,020A1P
13403631,020A1P
13403632,020A1P
13403633,020A1P
13406281,020A1P
13406961,020A1P
13406962,020A1P
13407061,020A1P
13407062,020A1P
13407331,020A1P
13407332,020A1P
13407333,020A1P
13407601,020A1P
13407602,020A1P
13407603,020A1P
13407921,020A1P
13407922,020A1P
13407923,020A1P
13407951,020A1P
13407952,020A1P
13407953,020A1P
13408021,020A1P
13408022,020A1P
13408023,020A1P
13408171,020A1P
13408172,020A1P
13408173,020A1P
13408311,020A1P
13408312,020A1P
13408313,020A1P
13408811,020A1P
13408812,020A1P
13408813,020A1P
13504701,020A1P
13504702,020A1P
13504703,020A1P
13509242,020A1P
13410291,
13410292,
13409471,
13409472,
13409473,
13402841,020A2P
13402842,020A2P
13402843,020A2P
13404271,020A2P
13404272,020A2P
13404691,020A2P
13404692,020A2P
13404693,020A2P
13406881,020A2P
13406882,020A2P
13406883,020A2P
13406891,020A2P
13406892,020A2P
13406893,020A2P
13407021,020A2P
13407022,020A2P
13407041,020A2P
13407042,020A2P
13407043,020A2P
13407091,020A2P
13407341,020A2P
13407342,020A2P
13408144,020A2P
13408203,020A2P
13408211,020A2P
13408604,020A2P
13408881,020A2P
13408882,020A2P
13408883,020A2P
13409071,020A2P
13409072,020A2P
13409073,020A2P
13409361,
13409362,
13409363,
13402400,020A3P
13402700,020A3P
13404830,020A3P
13406790,020A3P
13407000,020A3P
13407010,020A3P
13407200,020A3P
13407240,020A3P
13407410,020A3P
13407620,020A3P
13407730,020A3P
13407750,020A3P
13407910,020A3P
13407940,020A3P
13407990,020A3P
13408080,020A3P
13408150,020A3P
13408160,020A3P
13408340,020A3P
13408350,020A3P
13408360,020A3P
13408370,020A3P
13408380,020A3P
13408390,020A3P
13408400,020A3P
13408410,020A3P
13408620,020A3P
13408770,020A3P
13409190,020A3P
13409200,020A3P
13410080,
13410600,
13410060,
13409670,
13410070,
13409750,
13410050,
13410360,
13410090,
13409370,
11000241,
11000247,
11000235,
11000231,
11000232,
11100235,
11100205,
11100206,
11100218,
11100226,
11100224,
11100219,
11100204,
11100191,
13409381,
13409382,
13409383,
11000250,
11000246,
11000245,
11000229,
11100220,
11100213,
11100190,
11100242,
11100223,
11100207,
11100196,
11100236,
11100209,
11800035,
13403040,030A1P
13405501,030A1P
13405503,030A1P
13407351,030A1P
13407352,030A1P
13407353,030A1P
13407471,030A1P
13407472,030A1P
13407473,030A1P
13408011,030A1P
13408012,030A1P
13408013,030A1P
13507301,030A1P
13509231,030A1P
13404851,
13404852,
13409700,
13410001,
13410002,
13401741,030A2P
13401742,030A2P
13401743,030A2P
13402132,030A2P
13402133,030A2P
13403071,030A2P
13403072,030A2P
13403073,030A2P
13403601,030A2P
13403602,030A2P
13404161,030A2P
13404162,030A2P
13404163,030A2P
13404181,030A2P
13404182,030A2P
13404183,030A2P
13406521,030A2P
13406522,030A2P
13406523,030A2P
13406601,030A2P
13406602,030A2P
13406603,030A2P
13406921,030A2P
13406922,030A2P
13406923,030A2P
13406941,030A2P
13406942,030A2P
13406943,030A2P
13406951,030A2P
13406952,030A2P
13407361,030A2P
13407362,030A2P
13407363,030A2P
13407461,030A2P
13407462,030A2P
13407581,030A2P
13407582,030A2P
13407583,030A2P
13407591,030A2P
13407592,030A2P
13408031,030A2P
13408032,030A2P
13408033,030A2P
13408121,030A2P
13408122,030A2P
13408181,030A2P
13408182,030A2P
13408743,030A2P
13408911,030A2P
13408912,030A2P
13408913,030A2P
13408920,030A2P
13408931,030A2P
13408932,030A2P
13409041,030A2P
13409042,030A2P
13409043,030A2P
13409571,030A2P
13409572,030A2P
13409573,030A2P
13504601,030A2P
13504602,030A2P
13504603,030A2P
13504941,030A2P
13504942,030A2P
13504943,030A2P
13507251,030A2P
13507252,030A2P
13507253,030A2P
13507261,030A2P
13507262,030A2P
13507263,030A2P
13509221,030A2P
13403611,
13403612,
13410341,
13410342,
13410343,
13408034,
13406441,
13406442,
13406443,
13410011,
13410012,
13410013,
13409591,
13409592,
13409593,
13409761,
13409762,
13409763,
13409581,
13409582,
13409583,
13409861,
13409862,
13409840,
13409391,
13409392,
13409393,
13217094,030A3P
13401840,030A3P
13402250,030A3P
13402370,030A3P
13402580,030A3P
13402730,030A3P
13402760,030A3P
13402890,030A3P
13403020,030A3P
13403460,030A3P
13403960,030A3P
13404020,030A3P
13405400,030A3P
13405560,030A3P
13406080,030A3P
13406090,030A3P
13406110,030A3P
13406540,030A3P
13406560,030A3P
13406580,030A3P
13406871,030A3P
13406872,030A3P
13406873,030A3P
13406900,030A3P
13406910,030A3P
13406931,030A3P
13406932,030A3P
13406933,030A3P
13406970,030A3P
13406990,030A3P
13407030,030A3P
13407180,030A3P
13407210,030A3P
13407370,030A3P
13407540,030A3P
13407610,030A3P
13407800,030A3P
13407810,030A3P
13407830,030A3P
13407900,030A3P
13407930,030A3P
13408130,030A3P
13408190,030A3P
13408220,030A3P
13408290,030A3P
13408300,030A3P
13408420,030A3P
13408490,030A3P
13408670,030A3P
13408680,030A3P
13408730,030A3P
13408830,030A3P
13408841,030A3P
13408842,030A3P
13408843,030A3P
13408850,030A3P
13408860,030A3P
13408950,030A3P
13408960,030A3P
13408980,030A3P
13408990,030A3P
13409010,030A3P
13409020,030A3P
13409270,030A3P
13409490,030A3P
13409530,030A3P
13503680,030A3P
13503820,030A3P
13504840,030A3P
