Part_Number,Product,Description,Type
BCMS Monitor             ,BCMS,Color touch screen ,BCMS
BCMS Monitor             ,Spare Parts,Color touch screen ,BCMS
BCMS-COLD KIT            ,BCMS,2 Panel BCMS Kit wi,BCMS
BCMS-COLD KIT            ,BCMS,BCMS 84-Pole Solid ,BCMS
BCMS-COLD KIT            ,BCMS,2 Panel Square D So,BCMS
BCMS-COLD KIT            ,BCMS,1 Panel BCMS Kit wi,BCMS
BCMS-COLD KIT            ,OTHER,1 Panelboard Split ,BCMS
MOD16134                 ,BCMS,"WS,10 INCH SCREEN A",BCMS
225A Busway End-Feed     ,BUSWAY - Other,225A Bus End Feeds ,OTHER
225A Busway Feeder       ,BUSWAY - Other,HPW-225-4PG-4-EN-RH,OTHER
225A Busway Feeder       ,BUSWAY - Other,"""YOU MUST COMPLETE ",OTHER
225A Busway Feeder       ,BUSWAY - Other,HPW-225-4PG-4-EN-LH,OTHER
225A Busway Section      ,BUSWAY - Other,225A Bus Sections ,OTHER
250A Busway Feeder       ,BUSWAY - Other,HPW-225-4PG-4-EN-RH,OTHER
Busway Accessory 160-250A,BUSWAY - Other,HPW-225-4EC-CMSTB,OTHER
Busway Accessory 160-250A,BUSWAY - Other,EXTRA SPLICE,OTHER
Busway Accessory 160-250A,BUSWAY - Other,HPW-225-4EC-CMSTP,OTHER
Busway Accessory 160-250A,BUSWAY - Other,"""YOU MUST COMPLETE ",OTHER
Busway Accessory 160-250A,BUSWAY - Other,HPW-225-EC,OTHER
Busway Hanger (160A-400A),BUSWAY - Other,"""YOU MUST COMPLETE ",OTHER
Busway Hanger (160A-400A),BUSWAY - Other,HPW-225-4-H38-2-CMS,OTHER
Busway Hanger (160A-400A),BUSWAY - Other,HPW-225-VH38,OTHER
MIS0509                  ,BUSWAY - Other,HAR-PORT SEALING CO,OTHER
PCB32109                 ,BUSWAY - Other,"PCA,BREAKER I/O, GP",OTHER
13100746,BUSWAY - RAIL,HPW2-250-4PG-DG-4-E,BUSWAY - RAIL
13100747,BUSWAY - RAIL,HPW2-250-4PG-DG-4-E,BUSWAY - RAIL
13100750,BUSWAY - RAIL,HPW2-400-4PG-DG-4-E,BUSWAY - RAIL
13100751,BUSWAY - RAIL,HPW2-400-4PG-DG-4-E,BUSWAY - RAIL
13100752,BUSWAY - RAIL,HPW2-400-4PG-DG-4-E,BUSWAY - RAIL
13100753,BUSWAY - RAIL,HPW2-400-4PG-DG-4-E,BUSWAY - RAIL
225A Busway Rail         ,BUSWAY - Other,HPW-225-4PG-4-120-C,BUSWAY - RAIL
225A Busway Starter Rail ,BUSWAY - Other,HPW-225-4PG-4-SR-LH,BUSWAY - RAIL
225A Busway Starter Rail ,BUSWAY - Other,"""YOU MUST COMPLETE ",BUSWAY - RAIL
225A Busway Starter Rail ,BUSWAY - Other,HPW-225-4PG-4-SR-RH,BUSWAY - RAIL
250A BUS RUN - LH        ,BUSWAY - RAIL,COMPLETE 250A BUS R,BUSWAY - RAIL
250A BUS RUN - RH        ,BUSWAY - RAIL,COMPLETE 250A BUS R,BUSWAY - RAIL
400A BUS RUN - LH        ,BUSWAY - RAIL,COMPLETE 400A BUS R,BUSWAY - RAIL
400A BUS RUN - RH        ,BUSWAY - RAIL,COMPLETE 400A BUS R,BUSWAY - RAIL
13401930,BUSWAY - TOB,V422SG-SM-1-460C9-0,BUSWAY - TOB
13404610,BUSWAY - TOB,V722SG-JG-1-E1016-2,BUSWAY - TOB
13406510,BUSWAY - TOB,V422SG-S8-1-460C9-0,BUSWAY - TOB
13407120,BUSWAY - TOB,V465SD-GF-2-L2130C-,BUSWAY - TOB
13407140,BUSWAY - TOB,V465SD-GF-2-L2130C-,BUSWAY - TOB
13404610-REF             ,BUSWAY - TOB,V722SG-JG-1-E1016-2,BUSWAY - TOB
Bus Tap Off Box          ,BUSWAY - Other,TOB for 225A/400A B,Busway - TOB
Bus Tap Off Box          ,BUSWAY - Other,Tap-Off Boxes for 2,Busway - TOB
Bus Tap Off Box          ,BUSWAY - Other,TOB for Vertical Bu,Busway - TOB
Bus Tap Off Box          ,BUSWAY - Other,TOB for 225A Vertic,Busway - TOB
Bus Tap Off Box          ,BUSWAY - Other,Tap-Off Box for Ver,Busway - TOB
Bus Tap Off Box          ,BUSWAY - Other,Tap-Off Box for 225,Busway - TOB
MOD66971                 ,MISC STEEL PARTS,KICK PLATE ENCLOSUR,OTHER
MOD70972-BK01            ,MISC STEEL PARTS,"FLRSTD,85.5""WX57""DX",OTHER
MOD73234                 ,MISC STEEL PARTS,"BKT,SPRT,GLASTIC BA",OTHER
13100688,OTHER,HPW2-400-4PG-DG-8-B,OTHER
13100697,OTHER,HPW2-400-4PG-DG-4-E,OTHER
13100698,OTHER,HPW2-400-4PG-DG-8-S,OTHER
13100700,OTHER,HPW2-400-4PG-DG-8-B,OTHER
13100708,OTHER,HPW2-250-4PG-DG-8-S,OTHER
13100782,OTHER,HPW2-400-DG-4PG-8-B,OTHER
13300008,OTHER,HPW2-400-VH38      ,OTHER
